pointId Ascore actuallabel
0 0.427475 0
1 0.544779 1
2 0.404413 0
3 0.585784 1
4 0.444123 0
5 0.434966 1
6 0.47708 0
7 0.574239 1
8 0.446524 0
9 0.444716 1
10 0.458938 0
11 0.533908 1
12 0.429773 0
13 0.498492 1
14 0.419389 0
15 0.541478 1
16 0.385309 0
17 0.69318 1
18 0.438201 0
19 0.640384 1
20 0.419417 0
21 0.620134 1
22 0.388463 0
23 0.610627 1
24 0.405991 0
25 0.557897 1
26 0.486154 0
27 0.651813 1
28 0.495668 0
29 0.664406 1
30 0.434817 0
31 0.574308 1
32 0.42561 0
33 0.488573 1
34 0.45081 0
35 0.528538 1
36 0.391823 0
37 0.625824 1
38 0.389204 0
39 0.445084 1
40 0.451269 0
41 0.643398 1
42 0.455958 0
43 0.576628 1
44 0.445189 0
45 0.575117 1
46 0.413927 0
47 0.523693 1
48 0.393161 0
49 0.554327 1
50 0.439006 0
51 0.614066 1
52 0.571953 0
53 0.661646 1
54 0.410666 0
55 0.628199 1
56 0.430081 0
57 0.647148 1
58 0.403855 0
59 0.576552 1
60 0.420747 0
61 0.512735 1
62 0.447806 0
63 0.555874 1
64 0.436352 0
65 0.465123 1
66 0.410068 0
67 0.595889 1
68 0.51112 0
69 0.571205 1
70 0.452552 0
71 0.632474 1
72 0.46589 0
73 0.450126 1
74 0.456024 0
75 0.613886 1
76 0.450571 0
77 0.631302 1
78 0.541454 0
79 0.629614 1
80 0.476712 0
81 0.579206 1
82 0.454905 0
83 0.454182 1
84 0.39746 0
85 0.456913 1
86 0.399916 0
87 0.477063 1
88 0.403347 0
89 0.481548 1
90 0.442688 0
91 0.499455 1
92 0.427187 0
93 0.474716 1
94 0.405635 0
95 0.550884 1
96 0.496884 0
97 0.522559 0
98 0.606709 1
99 0.398511 0
100 0.567867 1
101 0.400776 0
102 0.442312 1
103 0.413925 0
104 0.476889 1
105 0.449724 0
106 0.440538 1
107 0.398191 0
108 0.476128 1
109 0.529378 0
110 0.493926 1
111 0.489497 0
112 0.493906 1
113 0.507465 0
114 0.472248 1
115 0.40423 0
116 0.40917 1
117 0.397026 0
118 0.529939 1
119 0.395531 0
120 0.43564 1
121 0.453605 0
122 0.508049 1
123 0.411351 0
124 0.515988 1
125 0.470849 0
126 0.489584 1
127 0.388082 0
128 0.501856 1
129 0.388347 0
130 0.45442 1
131 0.409258 0
132 0.536936 1
133 0.47365 0
134 0.504072 1
135 0.504957 0
136 0.607399 1
137 0.408123 0
138 0.433945 1
139 0.427708 0
140 0.550069 1
141 0.384899 0
142 0.468888 1
143 0.414175 0
144 0.405831 1
145 0.417588 0
146 0.455345 1
147 0.389773 0
148 0.470448 1
149 0.386101 0
150 0.48068 1
151 0.395875 0
152 0.413667 1
153 0.457715 0
154 0.421251 1
155 0.388535 0
156 0.418965 1
157 0.447227 0
158 0.420014 1
159 0.490005 0
160 0.416844 1
161 0.38466 0
162 0.657879 1
163 0.478174 0
164 0.571442 1
165 0.520736 0
166 0.617703 1
167 0.562612 0
168 0.436975 1
169 0.427022 0
170 0.644368 1
171 0.400723 0
172 0.554837 1
173 0.425892 0
174 0.475126 1
175 0.427881 0
176 0.578379 1
177 0.401545 0
178 0.425666 1
179 0.458171 0
180 0.549117 1
181 0.431025 0
182 0.609884 1
183 0.46345 0
184 0.609285 1
185 0.476258 0
186 0.624374 1
187 0.582927 0
188 0.662039 1
189 0.496486 0
190 0.572229 1
191 0.437726 0
192 0.527775 1
193 0.421086 0
194 0.631857 1
195 0.401829 0
196 0.566102 1
197 0.415314 0
198 0.557574 1
199 0.413389 0
200 0.569505 1
201 0.464206 0
202 0.57691 1
203 0.391423 0
204 0.636319 1
205 0.391797 0
206 0.651534 1
207 0.40424 0
208 0.492332 1
209 0.43707 0
210 0.617563 1
211 0.403663 0
212 0.520626 1
213 0.442592 0
214 0.587567 1
215 0.474736 0
216 0.602888 1
217 0.438884 0
218 0.587373 1
219 0.494979 0
220 0.671938 1
221 0.461462 0
222 0.606287 1
223 0.454941 0
224 0.529298 1
225 0.485753 0
226 0.56426 1
227 0.464921 0
228 0.592548 1
229 0.46136 0
230 0.453814 1
231 0.392707 0
232 0.615575 1
233 0.393578 0
234 0.471212 1
235 0.446145 0
236 0.448527 1
237 0.392041 0
238 0.423238 1
239 0.395218 0
240 0.476487 1
241 0.389824 0
242 0.477957 1
243 0.383939 0
244 0.469527 1
245 0.383815 0
246 0.465592 1
247 0.397865 0
248 0.442312 1
249 0.461516 0
250 0.577164 1
251 0.464255 0
252 0.504694 1
253 0.491722 0
254 0.460737 0
255 0.485483 0
256 0.393469 0
257 0.415651 0
258 0.393292 0
259 0.384626 0
260 0.410659 0
261 0.459959 0
262 0.481776 0
263 0.476485 0
264 0.503247 0
265 0.49121 0
266 0.475805 0
267 0.428286 0
268 0.414405 0
269 0.396224 0
270 0.38554 0
271 0.422631 0
272 0.422391 0
273 0.398593 0
274 0.406653 0
275 0.392873 0
276 0.396582 0
277 0.406713 0
278 0.47038 0
279 0.491971 0
280 0.491129 0
281 0.502693 0
282 0.511365 0
283 0.464165 0
284 0.420958 0
285 0.415074 0
286 0.410595 0
287 0.382899 0
288 0.401801 0
289 0.394723 0
290 0.414303 0
291 0.402882 0
292 0.399996 0
293 0.389274 0
294 0.410338 0
295 0.405837 0
296 0.513725 0
297 0.551013 0
298 0.512656 0
299 0.48001 0
300 0.509304 0
301 0.473031 0
302 0.388875 0
303 0.382962 0
304 0.391056 0
305 0.422883 0
306 0.416089 0
307 0.578354 0
308 0.532899 0
309 0.482084 0
310 0.500643 0
311 0.498438 0
312 0.395821 0
313 0.410105 0
314 0.459199 0
315 0.469215 0
316 0.476453 0
317 0.406451 0
318 0.387821 0
319 0.383567 0
320 0.389585 0
321 0.382204 0
322 0.386679 0
323 0.415481 0
324 0.460658 0
325 0.46449 0
326 0.489506 0
327 0.50768 0
328 0.48632 0
329 0.388713 0
330 0.390827 0
331 0.386754 0
332 0.381772 0
333 0.389122 0
334 0.388755 0
335 0.392141 0
336 0.459306 0
337 0.487885 0
338 0.467302 0
339 0.479143 0
340 0.489354 0
341 0.389269 0
342 0.387775 0
343 0.402829 0
344 0.382531 0
345 0.431153 0
346 0.391066 0
